id,N,D,C,E,I,K,F,P,S,V,APAAC3,APAAC4,APAAC5,APAAC6,APAAC10,APAAC19,_PolarizabilityC3,_SolventAccessibilityC2,_SolventAccessibilityC3,_SecondaryStrC2,_SecondaryStrC3,_ChargeC2,_ChargeC3,_PolarityC2,_PolarityC3,_NormalizedVDWVC1,_NormalizedVDWVC2,_NormalizedVDWVC3,_HydrophobicityC1,_HydrophobicityC2,_PolarizabilityT23,_SolventAccessibilityT12,_SolventAccessibilityT13,_SecondaryStrT12,_SecondaryStrT13,_ChargeT13,_ChargeT23,_PolarityT13,_NormalizedVDWVT23,_HydrophobicityT13,_PolarizabilityD1001,_PolarizabilityD2001,_SolventAccessibilityD1001,_SolventAccessibilityD2001,_SolventAccessibilityD2100,_SecondaryStrD2001,_SecondaryStrD3001,_ChargeD1001,_ChargeD1100,_ChargeD2001,_ChargeD3001,_ChargeD3075,_ChargeD3100,_PolarityD2001,_PolarityD3001,_NormalizedVDWVD1001,_NormalizedVDWVD2001,_HydrophobicityD1001,_HydrophobicityD1100,_HydrophobicityD2001,AP,RP,DI,DK,CL,CS,EI,IA,ID,IE,IK,LC,LP,KD,KE,KI,KF,FD,FE,PA,PR,PG,PP,PS,SC,SP,YI,VD,PAAC2,PAAC3,PAAC4,PAAC5,PAAC10,PAAC12,PAAC14,PAAC15,PAAC16,PAAC21,PAAC22,PAAC25,label
Positive_948,1.575,1.575,1.969,2.756,6.299,2.756,8.268,6.693,5.512,4.331,0.923,0.923,1.155,1.616,3.693,3.693,0.283,0.177,0.264,0.327,0.248,0.874,0.043,0.354,0.205,0.39,0.327,0.283,0.177,0.445,0.217,0.19,0.281,0.265,0.221,0.0,0.079,0.158,0.162,0.123,3.15,0.787,1.181,0.787,97.244,1.181,3.15,11.417,97.244,0.394,14.961,77.559,94.882,3.15,0.787,1.969,0.787,0.787,97.244,3.15,0.0,0.4,0.4,0.0,0.0,0.0,0.79,0.0,0.0,0.4,0.0,0.4,1.19,0.0,0.0,0.0,0.0,0.0,0.4,1.98,0.0,0.79,0.4,0.79,0.0,0.4,0.4,0.0,2.834,0.81,0.81,1.012,3.239,1.417,4.251,3.441,2.834,4.943,4.915,5.105,1
Negative_48,2.105,3.158,7.368,4.211,3.158,2.105,1.053,8.421,10.526,7.368,1.51,2.265,5.284,3.02,2.265,1.51,0.232,0.2,0.326,0.253,0.337,0.842,0.074,0.326,0.263,0.432,0.337,0.232,0.2,0.411,0.245,0.213,0.362,0.16,0.245,0.011,0.138,0.202,0.17,0.138,6.316,3.158,3.158,5.263,100.0,16.842,6.316,5.263,100.0,1.053,35.789,51.579,70.526,6.316,2.105,6.316,3.158,5.263,100.0,2.105,0.0,0.0,0.0,0.0,1.06,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,1.06,0.0,0.0,1.06,0.0,0.0,3.426,1.142,1.713,3.996,1.713,1.142,0.571,4.567,5.709,4.184,4.767,3.886,0
Negative_506,2.632,5.263,2.851,6.798,1.535,8.991,3.947,8.553,8.553,5.921,1.282,2.564,1.389,3.312,0.748,0.427,0.254,0.377,0.241,0.193,0.3,0.711,0.121,0.349,0.397,0.43,0.316,0.254,0.377,0.377,0.211,0.273,0.207,0.2,0.257,0.018,0.158,0.207,0.156,0.189,1.754,0.658,0.439,0.658,100.0,0.439,1.096,5.044,100.0,0.219,0.658,73.246,93.86,1.096,0.658,1.096,0.658,0.658,100.0,1.096,0.88,0.44,0.0,0.0,0.44,0.22,0.0,0.22,0.0,0.0,0.0,0.22,0.0,0.22,0.0,0.22,0.22,0.44,0.44,0.66,0.44,0.44,1.54,0.44,0.0,0.66,0.0,0.66,4.033,1.345,2.689,1.457,0.784,4.593,2.016,4.37,4.37,4.713,4.841,4.782,0
Negative_775,1.351,5.743,2.365,6.757,1.351,1.014,3.716,5.743,4.73,6.419,1.671,7.103,2.925,8.357,1.671,2.089,0.209,0.274,0.196,0.203,0.28,0.76,0.125,0.392,0.294,0.473,0.318,0.209,0.274,0.429,0.186,0.312,0.19,0.21,0.22,0.031,0.197,0.18,0.156,0.163,0.676,1.351,0.676,1.014,100.0,1.351,3.041,1.014,88.851,0.338,1.689,80.405,100.0,0.676,1.014,0.676,1.689,1.014,100.0,0.676,1.02,0.34,0.34,0.0,0.34,0.0,0.0,0.34,0.34,0.0,0.0,0.34,0.34,0.0,0.0,0.0,0.0,0.34,0.34,0.34,0.34,1.36,0.34,0.68,0.0,0.34,0.0,0.0,4.958,0.64,2.719,1.12,0.64,0.48,1.759,2.719,2.239,5.375,5.295,5.496,0
Positive_939,4.691,4.371,1.279,6.29,5.65,5.757,4.371,4.158,7.783,7.143,3.413,3.18,0.931,4.576,4.111,2.017,0.264,0.312,0.259,0.286,0.274,0.771,0.107,0.318,0.336,0.374,0.361,0.264,0.312,0.369,0.212,0.238,0.225,0.237,0.21,0.035,0.146,0.207,0.185,0.174,0.213,0.64,0.64,0.533,99.893,0.32,0.213,0.533,99.787,0.107,2.452,76.333,99.893,0.213,0.533,0.213,0.64,0.533,99.893,0.213,0.43,0.11,0.11,0.32,0.0,0.21,0.32,0.11,0.11,0.32,0.11,0.11,0.11,0.43,0.53,0.43,0.32,0.11,0.32,0.11,0.75,0.32,0.32,0.11,0.11,0.43,0.11,0.11,3.272,2.36,2.199,0.644,2.843,2.897,2.199,2.092,3.916,4.644,4.89,4.981,1
Positive_436,4.444,7.556,3.556,7.556,5.778,8.0,6.667,4.0,4.889,2.667,5.281,8.979,4.226,8.979,6.866,5.281,0.307,0.373,0.218,0.284,0.249,0.72,0.151,0.213,0.387,0.324,0.369,0.307,0.373,0.271,0.299,0.357,0.156,0.286,0.237,0.027,0.232,0.339,0.237,0.308,0.889,1.333,1.333,1.778,98.667,1.333,0.889,6.667,98.667,0.444,1.778,68.889,91.111,0.889,1.778,0.889,1.778,1.778,98.667,0.889,0.45,0.0,1.34,0.0,0.45,0.0,0.0,0.89,0.0,0.45,0.0,0.45,0.89,0.0,0.0,1.34,0.89,0.45,0.45,0.0,0.0,0.45,0.0,0.0,0.45,0.0,0.45,0.89,2.369,2.153,3.661,1.723,2.8,3.876,3.231,1.938,2.369,5.725,5.102,4.846,1
Positive_774,5.155,3.608,1.546,5.67,10.825,7.216,4.124,4.124,6.701,6.701,4.45,3.114,1.334,4.894,9.344,2.224,0.268,0.268,0.284,0.34,0.258,0.794,0.093,0.309,0.314,0.361,0.371,0.268,0.268,0.381,0.192,0.218,0.269,0.275,0.228,0.041,0.135,0.176,0.155,0.161,1.031,1.546,1.546,3.608,97.423,1.546,1.031,3.608,97.423,0.515,4.124,77.32,95.876,1.031,3.608,1.031,1.546,3.608,97.423,1.031,0.0,0.0,0.52,1.04,0.0,0.0,2.07,0.52,0.0,1.55,0.0,0.0,0.0,1.04,1.04,0.0,0.0,0.0,0.52,1.04,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,2.154,2.692,1.884,0.807,5.654,3.769,2.154,2.154,3.5,4.458,5.218,4.972,1
Negative_492,3.175,1.587,0.0,6.349,1.587,3.175,1.587,7.937,12.698,7.937,1.738,0.869,0.0,3.475,0.869,0.869,0.206,0.206,0.397,0.238,0.317,0.841,0.079,0.381,0.238,0.397,0.397,0.206,0.206,0.429,0.161,0.161,0.226,0.21,0.339,0.0,0.161,0.161,0.145,0.145,17.46,6.349,6.349,3.175,96.825,6.349,9.524,3.175,96.825,1.587,39.683,50.794,90.476,17.46,3.175,17.46,6.349,3.175,96.825,4.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,3.23,0.0,3.23,0.0,0.0,2.716,1.811,0.905,0.0,0.905,1.811,0.905,4.526,7.242,4.79,4.768,4.599,0
Positive_494,3.383,5.683,1.759,7.713,4.871,7.037,5.142,5.277,5.819,7.172,2.926,4.916,1.522,6.672,4.214,2.458,0.263,0.338,0.231,0.268,0.261,0.736,0.134,0.295,0.359,0.369,0.368,0.263,0.338,0.344,0.218,0.31,0.218,0.236,0.225,0.035,0.202,0.256,0.182,0.226,0.406,0.271,0.947,0.677,100.0,0.947,0.271,0.677,99.323,0.135,7.578,77.943,100.0,0.271,0.677,0.271,0.947,0.677,100.0,0.271,0.41,0.41,0.14,0.68,0.0,0.27,0.81,0.0,0.27,0.68,0.0,0.0,0.68,0.68,0.68,0.0,0.27,0.14,0.41,0.27,0.41,0.27,0.41,0.81,0.41,0.68,0.14,0.81,2.97,1.688,2.835,0.878,2.43,3.511,2.565,2.633,2.903,5.166,5.076,5.046,1
Positive_249,4.386,4.825,2.632,7.895,3.947,3.947,4.825,6.579,11.842,3.947,4.939,5.434,2.964,8.891,4.445,1.482,0.25,0.316,0.289,0.215,0.346,0.746,0.127,0.355,0.355,0.43,0.32,0.25,0.316,0.408,0.233,0.229,0.264,0.207,0.304,0.053,0.137,0.181,0.167,0.15,1.754,0.877,0.877,1.316,100.0,0.877,1.754,1.316,96.491,0.439,7.895,79.825,100.0,1.754,1.316,1.754,0.877,1.316,100.0,1.754,0.44,0.88,0.0,0.88,0.0,0.88,0.88,0.0,0.0,0.44,0.0,0.0,0.44,0.44,0.44,0.44,0.0,0.0,0.88,0.0,0.44,2.2,0.44,0.44,0.0,0.0,0.44,0.0,4.308,2.154,2.37,1.293,1.939,1.939,2.37,3.231,5.816,4.681,4.759,5.007,1
Negative_505,2.72,3.68,2.88,7.36,2.56,4.48,3.84,8.64,5.44,8.0,2.942,3.981,3.115,7.961,2.769,2.077,0.224,0.301,0.258,0.256,0.275,0.773,0.11,0.36,0.331,0.426,0.35,0.224,0.301,0.41,0.205,0.272,0.218,0.228,0.239,0.016,0.179,0.212,0.155,0.183,0.32,0.48,0.8,0.48,98.88,2.56,0.32,1.76,94.08,0.16,0.48,68.96,98.88,0.32,0.48,0.32,0.48,0.48,98.88,0.32,0.48,0.64,0.0,0.16,0.16,0.0,0.32,0.16,0.0,0.0,0.0,0.32,0.32,0.0,0.32,0.0,0.0,0.16,0.16,0.64,0.48,0.64,0.96,0.64,0.48,0.64,0.16,0.48,3.649,1.378,1.865,1.46,1.297,2.27,1.946,4.379,2.757,4.868,5.068,4.67,0
Negative_319,3.67,1.835,0.0,6.422,1.835,2.752,4.587,9.174,8.257,8.257,3.154,1.577,0.0,5.52,1.577,2.365,0.303,0.229,0.358,0.239,0.33,0.817,0.083,0.376,0.303,0.394,0.303,0.303,0.229,0.477,0.287,0.185,0.296,0.213,0.324,0.009,0.093,0.148,0.185,0.111,1.835,2.752,1.835,10.092,100.0,2.752,4.587,10.092,75.229,0.917,28.44,80.734,100.0,1.835,10.092,1.835,2.752,10.092,100.0,1.835,0.0,2.78,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,3.705,1.853,0.926,0.0,0.926,1.389,2.316,4.631,4.168,5.205,4.177,4.854,0
Positive_1125,1.295,4.317,1.583,4.892,4.748,4.029,4.46,6.043,9.209,7.482,0.773,2.578,0.945,2.921,2.835,1.805,0.26,0.269,0.271,0.276,0.289,0.781,0.092,0.363,0.289,0.422,0.318,0.26,0.269,0.413,0.199,0.238,0.232,0.242,0.229,0.027,0.138,0.205,0.166,0.176,0.288,0.432,0.288,0.432,100.0,3.453,0.719,1.007,98.993,0.144,0.432,85.324,100.0,0.288,0.432,0.288,0.432,0.432,100.0,0.288,1.01,0.58,0.43,0.29,0.43,0.0,0.14,0.14,0.14,0.29,0.29,0.0,0.58,0.43,0.29,0.0,0.29,0.14,0.29,0.43,0.72,1.01,0.72,0.86,0.14,0.72,0.29,0.58,4.29,0.644,2.145,0.787,2.359,2.002,2.216,3.003,4.576,5.106,5.056,5.146,1
Positive_358,3.257,4.023,1.916,5.747,5.556,6.513,3.065,5.364,6.513,8.429,3.703,4.574,2.179,6.534,6.317,2.831,0.238,0.262,0.268,0.284,0.28,0.791,0.098,0.37,0.293,0.429,0.333,0.238,0.262,0.425,0.165,0.228,0.228,0.251,0.244,0.019,0.138,0.207,0.14,0.169,0.383,0.575,0.383,1.149,100.0,3.065,0.958,1.149,100.0,0.192,6.13,77.203,99.042,0.383,1.149,0.383,0.575,1.149,100.0,0.383,0.19,0.0,0.0,0.38,0.19,0.0,0.19,0.58,0.0,0.58,0.19,0.0,0.77,0.19,0.77,0.0,0.38,0.38,0.19,0.38,0.19,0.58,0.38,0.58,0.19,0.0,0.19,0.38,2.384,1.689,2.086,0.993,2.88,3.377,1.589,2.781,3.377,4.684,4.853,4.795,1
Negative_823,3.261,1.087,0.0,1.087,2.174,6.522,1.087,7.609,7.609,4.348,2.372,0.791,0.0,0.791,1.581,0.791,0.293,0.293,0.239,0.163,0.315,0.793,0.022,0.402,0.315,0.413,0.293,0.293,0.293,0.435,0.165,0.253,0.143,0.154,0.352,0.0,0.044,0.143,0.143,0.121,2.174,3.261,2.174,15.217,95.652,3.261,6.522,15.217,95.652,1.087,36.957,36.957,56.522,2.174,15.217,2.174,3.261,15.217,95.652,2.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,0.0,1.1,0.0,0.0,0.0,0.0,5.405,1.474,0.491,0.0,0.983,2.948,0.491,3.439,3.439,5.409,5.305,5.508,0
Negative_259,1.743,3.011,2.694,8.241,3.17,4.596,1.585,9.826,7.29,3.645,1.482,2.56,2.291,7.008,2.696,2.291,0.193,0.301,0.279,0.19,0.273,0.775,0.113,0.387,0.317,0.444,0.363,0.193,0.301,0.429,0.19,0.24,0.227,0.178,0.27,0.024,0.16,0.184,0.149,0.159,0.317,1.585,0.317,1.109,100.0,1.426,0.951,1.743,100.0,0.158,1.109,70.998,98.574,0.317,1.109,0.317,1.585,1.109,100.0,0.317,0.79,0.48,0.0,0.16,0.48,0.32,0.32,0.48,0.0,0.32,0.0,0.0,1.11,0.32,0.32,0.0,0.0,0.0,0.32,0.63,0.48,0.63,1.27,0.63,0.32,0.95,0.16,0.16,3.498,0.916,1.582,1.416,1.666,2.415,0.833,5.163,3.831,4.606,4.979,4.721,0
Negative_511,2.622,1.873,2.996,4.869,2.622,3.371,0.375,10.112,13.858,5.243,2.666,1.904,3.046,4.951,2.666,1.904,0.172,0.202,0.419,0.255,0.337,0.85,0.067,0.498,0.236,0.547,0.281,0.172,0.202,0.551,0.147,0.132,0.293,0.158,0.271,0.019,0.102,0.113,0.113,0.098,0.749,1.124,0.749,1.498,98.127,3.371,1.124,1.498,95.88,0.375,14.981,90.637,97.753,0.749,1.498,0.749,4.494,1.498,98.127,0.749,0.75,0.75,0.38,0.0,0.0,0.38,0.38,0.0,0.0,0.0,0.0,0.38,0.75,0.0,0.38,0.0,0.0,0.0,0.0,1.88,0.38,0.75,1.88,2.63,0.0,1.13,0.38,0.0,2.802,1.509,1.078,1.724,1.509,1.94,0.216,5.82,7.976,3.957,4.282,4.003,0
Positive_1013,3.52,5.383,0.621,4.969,4.141,7.039,6.004,6.418,7.039,6.004,3.247,4.966,0.573,4.584,3.82,4.966,0.304,0.288,0.304,0.294,0.302,0.778,0.104,0.348,0.317,0.408,0.288,0.304,0.288,0.431,0.23,0.243,0.232,0.232,0.21,0.033,0.149,0.222,0.176,0.17,1.242,0.621,0.621,0.414,98.551,0.621,1.035,0.414,98.551,0.207,9.524,85.507,97.308,1.035,0.414,1.035,0.621,0.414,98.551,1.035,0.62,0.21,0.21,0.41,0.0,0.0,0.0,0.0,0.41,0.0,0.41,0.21,0.62,0.62,0.83,0.21,0.21,0.62,0.21,0.21,1.24,0.41,0.21,1.04,0.0,0.21,0.21,0.41,2.396,1.771,2.709,0.312,2.084,3.542,3.021,3.23,3.542,5.004,5.025,5.085,1
Negative_688,0.939,4.225,2.817,5.634,3.756,2.817,3.756,7.981,9.39,8.92,1.255,5.645,3.764,7.527,5.018,5.018,0.244,0.263,0.324,0.305,0.268,0.808,0.099,0.324,0.291,0.394,0.362,0.244,0.263,0.39,0.245,0.274,0.264,0.255,0.222,0.009,0.17,0.264,0.189,0.226,0.939,1.878,1.878,1.408,97.653,1.878,0.939,1.408,92.958,0.469,9.39,77.465,96.714,0.939,1.408,0.939,1.878,1.408,97.653,0.939,0.47,0.47,0.0,0.0,0.94,0.0,0.47,0.0,0.47,0.0,0.0,0.47,0.47,0.0,0.0,0.0,0.0,0.47,0.47,0.94,0.0,0.47,0.0,1.89,0.0,0.94,0.0,0.47,3.357,0.48,2.158,1.439,1.918,1.439,1.918,4.077,4.796,5.476,5.085,4.663,0
Positive_1203,7.626,4.766,2.574,4.862,5.434,7.15,5.72,4.385,8.77,5.148,9.166,5.728,3.094,5.844,6.531,4.011,0.255,0.322,0.255,0.282,0.283,0.797,0.096,0.242,0.348,0.316,0.43,0.255,0.322,0.301,0.255,0.323,0.247,0.251,0.254,0.019,0.16,0.32,0.222,0.28,0.667,0.191,0.191,0.858,99.809,0.191,0.381,0.858,99.714,0.095,3.527,77.312,99.809,0.381,0.858,0.381,0.191,0.858,99.809,0.381,0.19,0.0,0.38,0.29,0.38,0.19,0.48,0.29,0.19,0.19,0.38,0.29,0.57,0.29,0.48,0.67,0.19,0.19,0.19,0.19,0.38,0.29,0.29,0.48,0.19,0.48,0.1,0.19,1.864,4.03,2.519,1.36,2.872,3.778,3.023,2.317,4.634,5.007,4.793,4.476,1
Positive_1138,3.706,5.063,2.108,7.171,4.821,6.686,4.748,4.53,7.922,6.056,3.633,4.964,2.067,7.03,4.726,2.803,0.257,0.324,0.248,0.262,0.258,0.759,0.122,0.28,0.346,0.351,0.391,0.257,0.324,0.33,0.226,0.273,0.202,0.24,0.233,0.032,0.182,0.261,0.193,0.227,0.048,0.194,0.048,0.218,99.927,0.194,0.073,0.218,99.782,0.024,0.412,77.059,99.927,0.048,0.218,0.048,0.194,0.218,99.927,0.048,0.22,0.12,0.22,0.15,0.31,0.17,0.44,0.24,0.39,0.29,0.22,0.34,0.68,0.63,0.41,0.34,0.36,0.15,0.24,0.41,0.22,0.24,0.29,0.36,0.22,0.41,0.1,0.39,2.647,1.883,2.573,1.071,2.45,3.398,2.413,2.302,4.026,4.876,5.183,5.031,1
Positive_145,2.37,5.687,0.711,6.398,4.976,3.791,2.607,4.739,6.872,8.531,2.57,6.168,0.771,6.939,5.397,2.313,0.204,0.263,0.237,0.263,0.277,0.787,0.121,0.379,0.291,0.443,0.353,0.204,0.263,0.429,0.164,0.28,0.247,0.219,0.28,0.026,0.207,0.192,0.138,0.166,1.422,0.474,0.474,0.948,100.0,0.474,1.659,0.948,100.0,0.237,4.976,79.384,98.341,1.422,0.948,1.422,0.474,0.948,100.0,1.422,0.48,0.0,0.48,0.24,0.0,0.0,0.24,0.95,0.48,0.24,0.24,0.0,1.19,0.24,0.0,0.0,0.0,0.48,0.24,0.48,0.48,0.24,0.0,0.24,0.0,0.71,0.0,0.48,2.749,1.196,2.869,0.359,2.51,1.913,1.315,2.391,3.467,5.068,5.113,4.755,1
Negative_166,1.473,4.42,1.105,10.497,1.842,2.21,2.21,9.392,9.576,5.341,0.876,2.629,0.657,6.243,1.095,0.876,0.142,0.262,0.284,0.177,0.333,0.794,0.149,0.413,0.284,0.468,0.39,0.142,0.262,0.449,0.131,0.212,0.242,0.173,0.308,0.007,0.221,0.151,0.105,0.124,0.368,1.657,0.368,1.657,99.816,1.842,0.552,9.392,95.028,0.184,6.262,79.374,99.816,0.368,1.657,0.368,1.657,1.657,99.816,0.368,0.92,0.55,0.18,0.18,0.18,0.37,0.0,0.0,0.0,0.0,0.0,0.37,0.92,0.0,0.18,0.0,0.0,0.0,0.18,0.55,0.18,0.92,1.48,0.55,0.0,1.66,0.18,0.18,1.971,0.83,2.49,0.623,1.038,1.245,1.245,5.291,5.395,4.324,4.237,4.406,0
Negative_336,3.571,1.786,0.595,1.19,2.381,1.19,2.976,17.857,5.357,7.143,2.564,1.282,0.427,0.854,1.709,5.128,0.185,0.149,0.417,0.274,0.411,0.94,0.03,0.542,0.161,0.565,0.25,0.185,0.149,0.625,0.162,0.15,0.335,0.174,0.251,0.0,0.06,0.096,0.096,0.06,1.786,1.19,2.976,1.19,96.429,4.167,1.19,2.381,91.071,0.595,22.024,63.69,96.429,1.786,1.19,1.786,1.19,1.19,96.429,1.786,1.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.99,4.19,0.6,0.0,0.0,0.0,0.0,1.085,2.17,1.085,0.362,1.447,0.723,1.808,10.851,3.255,3.728,4.284,3.917,0
Negative_334,4.211,0.0,1.053,4.211,5.263,6.316,3.158,21.053,13.684,6.316,4.562,0.0,1.141,4.562,5.702,0.0,0.2,0.221,0.474,0.232,0.421,0.884,0.042,0.474,0.274,0.484,0.316,0.2,0.221,0.526,0.234,0.191,0.191,0.138,0.298,0.0,0.085,0.16,0.149,0.149,12.632,4.211,7.368,3.158,98.947,13.684,5.263,3.158,89.474,1.053,63.158,84.211,95.789,5.263,2.105,5.263,4.211,3.158,98.947,2.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,2.13,0.0,0.0,1.06,0.0,0.0,0.0,2.13,0.0,0.0,4.26,1.06,0.0,4.26,0.0,0.0,0.645,2.578,0.0,0.645,3.222,3.867,1.934,12.89,8.378,4.212,3.851,4.075,0
Positive_668,3.349,2.871,1.914,8.134,4.785,11.483,7.656,7.177,6.699,9.569,3.304,2.833,1.889,8.026,4.721,2.833,0.297,0.325,0.211,0.306,0.249,0.732,0.11,0.268,0.34,0.316,0.388,0.297,0.325,0.311,0.255,0.308,0.197,0.303,0.236,0.038,0.163,0.284,0.197,0.245,2.392,0.957,1.914,0.957,99.522,3.349,1.435,4.785,98.565,0.478,0.957,83.254,99.522,1.435,0.957,1.435,0.957,0.957,99.522,1.435,0.0,0.96,0.48,0.0,0.0,0.48,0.0,0.48,0.0,0.48,0.96,0.48,0.0,0.48,2.4,1.44,0.96,0.0,0.48,0.48,1.44,0.0,0.0,0.96,0.0,0.0,0.0,0.48,2.106,1.638,1.404,0.936,2.34,5.615,3.744,3.51,3.276,5.215,4.702,4.932,1
Positive_46,4.323,3.008,3.195,4.887,5.263,7.143,3.195,5.639,7.707,7.143,2.282,1.588,1.686,2.58,2.778,2.183,0.259,0.28,0.291,0.335,0.244,0.795,0.079,0.333,0.295,0.395,0.346,0.259,0.28,0.389,0.211,0.209,0.258,0.273,0.185,0.03,0.098,0.169,0.164,0.139,0.564,0.376,0.564,0.376,99.624,1.128,0.564,4.511,99.624,0.188,0.376,64.662,97.932,0.564,0.376,0.564,0.376,0.376,99.624,0.564,0.19,0.56,0.0,0.38,0.19,0.19,0.0,0.38,0.0,0.0,0.0,0.75,0.19,0.19,0.56,0.19,0.19,0.19,0.0,0.75,0.19,0.19,0.0,0.94,0.19,0.38,0.38,0.0,2.87,2.276,1.584,1.682,2.771,3.761,1.682,2.969,4.058,4.434,4.7,4.597,1
Negative_805,4.187,2.956,0.985,3.448,3.941,5.419,2.217,9.36,10.345,4.68,4.328,3.055,1.018,3.564,4.073,5.346,0.227,0.273,0.392,0.259,0.33,0.857,0.064,0.419,0.296,0.458,0.315,0.227,0.273,0.493,0.193,0.193,0.237,0.22,0.244,0.01,0.109,0.17,0.141,0.146,0.493,0.985,0.493,0.739,100.0,0.985,0.493,0.739,100.0,0.246,14.039,60.837,97.537,0.493,0.739,0.493,0.985,0.739,100.0,0.493,0.49,0.25,0.0,0.25,0.0,0.0,0.0,0.49,0.0,0.0,0.25,0.49,0.74,0.0,0.0,0.25,0.49,0.25,0.0,0.99,0.0,0.49,0.74,1.23,0.0,1.73,1.23,0.25,1.402,2.383,1.682,0.561,2.243,3.084,1.262,5.326,5.887,4.39,4.453,4.086,0
Negative_608,5.6,2.4,8.8,3.2,0.8,4.0,2.4,5.6,5.6,5.6,3.733,1.6,5.867,2.133,0.533,1.6,0.208,0.24,0.264,0.304,0.264,0.856,0.056,0.32,0.264,0.432,0.36,0.208,0.24,0.368,0.234,0.185,0.25,0.226,0.258,0.016,0.081,0.194,0.169,0.161,2.4,3.2,2.4,1.6,82.4,6.4,8.0,1.6,82.4,0.8,15.2,56.0,76.0,2.4,1.6,2.4,3.2,1.6,82.4,2.4,0.0,0.81,0.81,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.81,0.81,0.81,0.0,0.0,1.61,0.0,0.0,0.81,2.656,3.098,1.328,4.868,0.443,2.213,1.328,3.098,3.098,4.265,4.326,4.365,0
Positive_680,2.128,5.319,1.596,5.319,5.142,4.965,4.255,4.61,7.447,5.674,2.351,5.877,1.764,5.877,5.682,3.135,0.257,0.287,0.243,0.257,0.285,0.778,0.106,0.355,0.319,0.424,0.319,0.257,0.287,0.415,0.19,0.281,0.25,0.199,0.24,0.027,0.162,0.211,0.172,0.176,0.709,0.355,0.355,0.532,99.468,0.709,1.241,0.532,99.468,0.177,8.688,78.369,99.113,0.709,0.532,0.709,0.355,0.532,99.468,0.709,0.0,0.18,0.36,0.53,0.18,0.53,0.18,0.53,0.36,0.36,0.53,0.0,0.18,0.53,0.53,0.18,0.0,0.53,0.36,0.71,0.36,0.71,0.36,0.0,0.18,0.71,0.18,0.53,3.193,1.036,2.589,0.777,2.503,2.417,2.071,2.244,3.625,5.179,5.038,5.233,1
Negative_466,2.224,2.873,3.707,3.614,3.522,2.41,3.522,7.6,8.99,6.024,1.593,2.057,2.654,2.588,2.522,1.46,0.184,0.207,0.286,0.267,0.293,0.869,0.065,0.391,0.231,0.457,0.36,0.184,0.207,0.436,0.165,0.213,0.295,0.221,0.257,0.012,0.105,0.15,0.123,0.127,0.371,0.185,0.185,2.224,99.907,0.185,0.371,3.244,99.907,0.093,2.873,65.338,99.444,0.371,2.224,0.278,0.185,2.224,99.907,0.371,0.56,0.46,0.09,0.28,0.93,0.19,0.09,0.09,0.09,0.0,0.09,0.56,0.93,0.0,0.09,0.19,0.0,0.0,0.09,0.65,0.37,1.02,0.46,0.65,0.56,1.3,0.09,0.0,2.312,1.233,1.593,2.055,1.952,1.336,1.952,4.213,4.984,4.427,4.504,4.535,0
Positive_226,2.348,5.587,1.7,6.397,4.372,4.13,4.858,6.397,4.372,6.721,1.935,4.604,1.401,5.272,3.603,3.203,0.255,0.286,0.238,0.271,0.269,0.763,0.12,0.351,0.312,0.423,0.321,0.255,0.286,0.415,0.202,0.256,0.233,0.22,0.238,0.03,0.168,0.216,0.169,0.176,0.243,0.648,0.162,1.134,99.757,0.162,0.243,1.134,99.514,0.081,5.668,73.441,99.757,0.243,1.134,0.243,0.729,1.134,99.757,0.243,0.97,0.49,0.49,0.32,0.32,0.0,0.08,0.24,0.08,0.24,0.57,0.32,0.73,0.32,0.08,0.24,0.08,0.41,0.24,1.22,0.57,0.57,0.49,0.32,0.16,0.41,0.08,0.49,3.735,1.152,2.742,0.834,2.146,2.027,2.384,3.14,2.146,4.987,5.372,5.104,1
